name,latitude,longitude
Zimmerau,48.96,13.23
Zimmerau,47.65,12.14
Zimkendorf,54.28,12.96
Ziltendorf,52.20,14.62
Zilshausen,50.11,7.38
Zilsdorf,50.27,6.73
Zilly,51.94,10.82
Zillofen,48.36,11.41
Zillishausen,48.13,9.94
Zilling,48.78,13.08
Zillhausen,48.25,8.92
Zillhardtshof,48.87,9.32
Zillham,47.98,12.26
Zillendorf,49.35,12.66
Zillenberg,48.29,11.07
Zillbeck,52.38,11.16
Zillbach,50.70,10.29
Zillbach,50.42,9.72
Zilgendorf,50.16,10.96
Zilchenricht,49.38,12.18
Ziggelmark,53.50,11.04
Zifling,49.23,12.67
Ziezow,52.13,12.71
Zieverich,50.95,6.62
Zietsch,51.31,13.9
Zietlitz,53.63,12.34
Zietlitz,53.57,11.54
Ziethnitz,52.82,11.12
Ziethen,53.88,13.67
Ziethen,53.7,10.81
Zietensaue,52.76,12.46
Zietenhof,51.56,12.90
Zießau,52.90,11.46
Zieslübbe,53.47,11.77
Ziesendorf,53.99,12.03
Zieselsmaar,50.83,6.78
Zieschütz,51.17,14.48
Ziesar,52.26,12.28
Zierzow,53.42,12.56
Zierzow,53.28,11.68
Ziertheim,48.65,10.38
Zierstorf,53.80,12.46
Zierow,53.92,11.37
Zierolshofen,48.60,7.90
Zierling,49.06,12.74
Zierke,53.37,13.04
Zieritz,53.06,10.79
Ziering,48.60,13.65
Zierenberg,51.36,9.30
Zierbach,48.96,13.04
Zierau,52.75,11.31
Ziepel,52.49,11.36
Ziepel,52.14,11.87
Zienken,47.84,7.57
Zienau,52.51,11.42
Ziemkendorf,53.31,14.01
Ziemitz,54.02,13.77
Ziemetshausen,48.29,10.53
Ziemendorf,52.91,11.48
Zielow,53.35,12.68
Ziellechen,47.90,12.15
Zielitz,52.28,11.67
Zielheim,49.27,12.10
Zielfingen,48.04,9.27
Zielberg,48.74,13.70
Zieko,51.91,12.41
Ziehring,49.18,12.51
Ziegwebersberg,51.11,7.00
Ziegra,51.10,13.05
Ziegolz,47.92,9.85
Zieglstadl,48.86,12.89
Zieglstadl,48.69,12.12
Zieglreuth,48.60,11.90
Zieglhof,49.06,11.96
Zieglertal,51.08,14.51
Ziegler,48.0,10.36
Ziegetsdorf,48.99,12.07
Ziegerhof,48.77,9.75
Ziegenrück,50.60,11.64
Ziegenkrug,54.11,12.01
Ziegenhocken,52.54,8.97
Ziegenhardt,50.85,7.55
Ziegenhals,52.35,13.67
Ziegenhain,51.13,13.30
Ziegenhain,50.91,11.62
Ziegenhain,50.91,9.23
Ziegenhain,50.68,7.53
Ziegenhahn,50.67,7.52
Ziegenhagen,52.72,11.77
Ziegenhagen,51.36,9.75
Ziegendorf,53.29,11.81
Ziegendorf,49.29,10.74
Ziegenburg,50.11,11.65
Ziegenberg,52.04,10.01
Ziegenberg,51.36,9.76
Ziegenberg,50.36,8.63
Ziegenbach,49.69,10.36
Ziegelwiese,51.32,8.40
Ziegelweiler,48.44,10.00
Ziegelwasen,48.23,8.85
Ziegelviehbig,50.88,14.76
Ziegelstein,49.48,11.10
Ziegelstadl,47.93,11.09
Ziegelstadel,48.31,12.28
Ziegelstadel,48.15,11.83
Ziegelstadel,48.06,9.93
Ziegelsham,48.26,12.31
Ziegelsdorf,52.26,11.98
Ziegelsdorf,50.19,10.92
Ziegelscheune,51.55,13.48
Ziegelscheune,51.51,13.75
Ziegelsambach,49.77,10.58
Ziegelrode,51.55,11.46
Ziegelroda,51.33,11.46
Ziegelreuth,48.59,13.50
Ziegelreuth,47.94,12.11
Ziegelplatz,47.85,7.78
Ziegelnöbach,48.47,11.45
Ziegelkamp,53.68,9.16
Ziegelkamp,53.51,10.26
Ziegelhütten,50.37,11.96
Ziegelhütten,50.12,11.44
Ziegelhütte,50.43,9.89
Ziegelhütte,50.34,9.71
Ziegelhütte,50.33,9.38
Ziegelhütte,50.28,9.58
Ziegelhütte,49.99,12.06
Ziegelhütte,49.48,12.15
Ziegelhütte,49.39,11.35
Ziegelhütte,49.36,12.4
Ziegelhütte,49.28,10.28
Ziegelhütte,48.46,9.86
Ziegelhütte,48.40,8.66
Ziegelhof,53.09,11.45
Ziegelhof,48.01,9.54
Ziegelhof,47.85,7.71
Ziegelheim,50.93,12.55
Ziegelheide,51.37,6.38
Ziegelhäuser,48.40,9.48
Ziegelhausen,49.42,8.75
Ziegelhaus,49.27,10.30
Ziegelhaus,47.63,9.53
Ziegelerden,50.23,11.30
Ziegelei,52.78,11.36
Ziegelbronn,49.09,9.57
Ziegelberg,51.08,14.25
Ziegelberg,48.40,11.45
Ziegelberg,47.85,10.24
Ziegelbach,47.89,9.86
Ziegelanger,49.99,10.61
Ziegel,50.51,9.66
Zieflesberg,48.76,8.43
Zieckau,51.89,13.64
Ziebigk,51.85,12.21
Ziebigk,51.70,12.08
Ziebach,50.94,9.88
Ziddorf,53.67,12.54
Zidderich,53.60,12.01
Zickra,50.74,12.13
Zickra,50.66,11.90
Zickhusen,53.75,11.41
Zickeritz,51.63,11.73
Zicker,54.25,13.39
Zichtow,52.92,12.19
Zichtau,52.60,11.29
Zichow,53.18,14.03
Zicherie,52.57,10.93
Zibühl,53.79,11.99
Zibberick,52.37,11.77
Ziallerns,53.64,7.87
Zeyern,50.26,11.40
